Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",16822,"(+/-2,022)",18064,"(+/-2,217)",19496,"(+/-2,140)",15842,"(+/-1,900)",19364,"(+/-2,277)",18857,"(+/-2,047)",16600,"(+/-2,061)",18641,"(+/-2,280)",20574,"(+/-2,332)",14763,"(+/-1,892)",18639,"(+/-2,429)",22986,"(+/-2,332)",21389,"(+/-2,604)",21100,"(+/-2,211)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",82225,"(+/-3,040)",94075,"(+/-3,723)",93049,"(+/-3,838)",79385,"(+/-2,756)",92690,"(+/-4,420)",93663,"(+/-3,510)",76331,"(+/-3,239)",94169,"(+/-4,012)",105634,"(+/-3,296)",79023,"(+/-3,573)",97043,"(+/-3,594)",102612,"(+/-3,535)",101156,"(+/-4,554)",108247,"(+/-4,029)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",80767,"(+/-2,367)",71446,"(+/-3,106)",75107,"(+/-3,241)",74170,"(+/-2,777)",68433,"(+/-3,494)",72567,"(+/-3,022)",77368,"(+/-3,039)",75190,"(+/-2,984)",68659,"(+/-2,852)",86087,"(+/-2,870)",74266,"(+/-3,020)",65298,"(+/-2,858)",51338,"(+/-3,052)",61009,"(+/-3,298)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",51041,"(+/-2,530)",43012,"(+/-2,665)",40314,"(+/-2,483)",44899,"(+/-1,933)",39291,"(+/-2,307)",44024,"(+/-2,433)",44410,"(+/-2,102)",48812,"(+/-2,478)",43600,"(+/-2,887)",51933,"(+/-2,416)",45963,"(+/-2,438)",37185,"(+/-2,056)",31294,"(+/-2,699)",32484,"(+/-2,505)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",27446,"(+/-1,706)",20236,"(+/-1,654)",22418,"(+/-1,778)",24442,"(+/-1,475)",21412,"(+/-1,678)",23685,"(+/-1,832)",23228,"(+/-1,659)",20429,"(+/-1,829)",24725,"(+/-2,071)",21064,"(+/-1,570)",24344,"(+/-1,628)",18750,"(+/-1,748)",19259,"(+/-1,603)",20857,"(+/-1,808)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",31208,"(+/-1,631)",23756,"(+/-1,792)",22690,"(+/-1,556)",29602,"(+/-1,644)",35813,"(+/-2,015)",26403,"(+/-1,435)",27670,"(+/-1,762)",19976,"(+/-1,723)",35277,"(+/-1,926)",23565,"(+/-1,824)",20740,"(+/-1,667)",27237,"(+/-1,975)",34224,"(+/-2,342)",25670,"(+/-1,939)"
Housing,Value,"Owner-occupied units",225486,"(+/-3,583)",198110,"(+/-3,231)",197183,"(+/-3,513)",205156,"(+/-3,549)",197126,"(+/-3,922)",198075,"(+/-3,046)",202354,"(+/-3,581)",202278,"(+/-3,884)",205239,"(+/-4,090)",218801,"(+/-3,586)",209909,"(+/-3,643)",172849,"(+/-3,996)",138480,"(+/-3,688)",146171,"(+/-4,682)"
Housing,Value,"Less than $50,000",28043,"(+/-1,563)",20542,"(+/-1,883)",18294,"(+/-1,974)",25807,"(+/-1,565)",48030,"(+/-3,105)",20182,"(+/-1,727)",20407,"(+/-1,558)",15726,"(+/-1,561)",21791,"(+/-1,761)",20501,"(+/-1,694)",10460,"(+/-1,254)",16213,"(+/-1,750)",53342,"(+/-2,847)",39525,"(+/-2,734)"
Housing,Value,"$50,000 to $99,999",58720,"(+/-2,450)",40325,"(+/-2,346)",39126,"(+/-2,371)",59183,"(+/-2,263)",59516,"(+/-2,646)",41698,"(+/-2,208)",41354,"(+/-2,280)",23707,"(+/-1,599)",46531,"(+/-2,693)",35432,"(+/-1,960)",15206,"(+/-1,714)",45785,"(+/-2,286)",50779,"(+/-2,643)",31468,"(+/-2,291)"
Housing,Value,"$100,000 to $149,999",41823,"(+/-1,913)",50272,"(+/-2,765)",47827,"(+/-3,068)",45739,"(+/-2,091)",41882,"(+/-2,754)",43829,"(+/-2,579)",45125,"(+/-2,555)",28807,"(+/-1,719)",51284,"(+/-3,091)",38268,"(+/-1,967)",28203,"(+/-1,907)",35645,"(+/-2,088)",19888,"(+/-1,778)",16462,"(+/-1,633)"
Housing,Value,"$150,000 to $199,999",37469,"(+/-2,149)",38866,"(+/-2,412)",35623,"(+/-2,461)",34492,"(+/-1,897)",24122,"(+/-1,633)",36782,"(+/-2,262)",37404,"(+/-2,566)",34875,"(+/-2,417)",36378,"(+/-2,104)",42901,"(+/-2,451)",37885,"(+/-2,469)",26472,"(+/-1,806)",7130,"(+/-1,035)",14907,"(+/-1,684)"
Housing,Value,"$200,000 to $299,999",31598,"(+/-1,871)",30589,"(+/-2,132)",31559,"(+/-1,992)",26881,"(+/-1,817)",14675,"(+/-1,401)",30408,"(+/-1,827)",35824,"(+/-2,179)",51522,"(+/-2,463)",27064,"(+/-2,436)",50262,"(+/-2,711)",56353,"(+/-2,586)",26420,"(+/-2,121)",4639,(+/-800),21970,"(+/-1,740)"
Housing,Value,"$300,000 to $499,999",17075,"(+/-1,248)",13219,"(+/-1,401)",18636,"(+/-1,568)",9374,(+/-996),6577,"(+/-1,092)",17506,"(+/-1,476)",16870,"(+/-1,511)",37284,"(+/-1,994)",14134,"(+/-1,531)",25788,"(+/-2,041)",44303,"(+/-2,453)",14729,"(+/-1,312)",1914,(+/-585),14684,"(+/-1,373)"
Housing,Value,"$500,000 to $999,999",7761,(+/-821),3061,(+/-543),5023,"(+/-1,001)",2842,(+/-581),1891,(+/-567),6481,"(+/-1,077)",4327,(+/-806),9128,"(+/-1,088)",6334,(+/-853),4990,(+/-875),15196,"(+/-1,615)",6201,(+/-748),412,(+/-200),5841,(+/-882)
Housing,Value,"$1,000,000 or more",2997,(+/-562),1236,(+/-380),1095,(+/-423),838,(+/-303),433,(+/-252),1189,(+/-356),1043,(+/-445),1229,(+/-484),1723,(+/-446),659,(+/-290),2303,(+/-600),1384,(+/-567),376,(+/-239),1314,(+/-414)
Housing,Value,"Median (dollars)",127400,"(+/-2,811)",138000,"(+/-2,375)",142800,"(+/-2,330)",117100,"(+/-2,042)",91400,"(+/-2,848)",142100,"(+/-3,032)",143600,"(+/-2,990)",196900,"(+/-3,959)",133100,"(+/-2,497)",165000,"(+/-2,560)",222200,"(+/-4,137)",131500,"(+/-3,525)",63100,"(+/-2,149)",105700,"(+/-7,280)"
Housing,"Mortgage Status","Owner-occupied units",225486,"(+/-3,583)",198110,"(+/-3,231)",197183,"(+/-3,513)",205156,"(+/-3,549)",197126,"(+/-3,922)",198075,"(+/-3,046)",202354,"(+/-3,581)",202278,"(+/-3,884)",205239,"(+/-4,090)",218801,"(+/-3,586)",209909,"(+/-3,643)",172849,"(+/-3,996)",138480,"(+/-3,688)",146171,"(+/-4,682)"
Housing,"Mortgage Status","Housing units with a mortgage",125260,"(+/-3,311)",121082,"(+/-3,582)",124460,"(+/-3,679)",117532,"(+/-3,051)",111889,"(+/-3,490)",119827,"(+/-3,086)",131056,"(+/-3,900)",139900,"(+/-3,939)",129517,"(+/-3,468)",137795,"(+/-3,737)",142031,"(+/-3,704)",106115,"(+/-3,819)",64532,"(+/-2,785)",77622,"(+/-3,094)"
Housing,"Mortgage Status","Housing units without a mortgage",100226,"(+/-2,805)",77028,"(+/-3,120)",72723,"(+/-2,900)",87624,"(+/-2,892)",85237,"(+/-3,098)",78248,"(+/-2,858)",71298,"(+/-2,721)",62378,"(+/-3,010)",75722,"(+/-2,993)",81006,"(+/-3,408)",67878,"(+/-2,820)",66734,"(+/-2,718)",73948,"(+/-3,434)",68549,"(+/-3,719)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",125260,"(+/-3,311)",121082,"(+/-3,582)",124460,"(+/-3,679)",117532,"(+/-3,051)",111889,"(+/-3,490)",119827,"(+/-3,086)",131056,"(+/-3,900)",139900,"(+/-3,939)",129517,"(+/-3,468)",137795,"(+/-3,737)",142031,"(+/-3,704)",106115,"(+/-3,819)",64532,"(+/-2,785)",77622,"(+/-3,094)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",4546,(+/-690),2825,(+/-643),2418,(+/-624),3406,(+/-581),3234,(+/-649),2893,(+/-598),3140,(+/-798),1077,(+/-328),1707,(+/-504),2930,(+/-706),732,(+/-365),1397,(+/-512),1343,(+/-427),1222,(+/-453)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",52370,"(+/-2,744)",46333,"(+/-2,848)",38978,"(+/-2,473)",47724,"(+/-2,379)",47198,"(+/-2,641)",40259,"(+/-2,640)",41681,"(+/-2,461)",25816,"(+/-2,032)",40232,"(+/-2,169)",34851,"(+/-2,203)",19451,"(+/-1,644)",26592,"(+/-2,332)",24921,"(+/-2,034)",16228,"(+/-1,868)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",41875,"(+/-1,986)",46051,"(+/-2,958)",48525,"(+/-2,940)",42275,"(+/-1,879)",40114,"(+/-2,692)",44049,"(+/-2,226)",45131,"(+/-2,919)",46049,"(+/-2,460)",49552,"(+/-2,516)",47644,"(+/-2,536)",44174,"(+/-2,633)",37503,"(+/-2,771)",28551,"(+/-2,050)",25537,"(+/-1,909)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",15192,"(+/-1,235)",16492,"(+/-1,448)",18035,"(+/-1,704)",14816,"(+/-1,323)",14136,"(+/-1,467)",19668,"(+/-1,608)",25379,"(+/-2,192)",33834,"(+/-2,151)",22685,"(+/-1,998)",32915,"(+/-2,463)",35399,"(+/-1,927)",22179,"(+/-1,959)",7287,"(+/-1,259)",16822,"(+/-1,507)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",5570,(+/-809),5398,(+/-990),10044,"(+/-1,219)",5244,(+/-824),4721,(+/-992),6925,"(+/-1,201)",9956,"(+/-1,261)",18369,"(+/-1,551)",6987,(+/-978),11990,"(+/-1,446)",20817,"(+/-2,049)",9943,"(+/-1,314)",1488,(+/-410),8252,"(+/-1,045)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2892,(+/-676),1786,(+/-530),3588,(+/-745),2466,(+/-582),1038,(+/-401),2719,(+/-606),3558,(+/-740),8304,"(+/-1,263)",3135,(+/-686),4323,(+/-928),9274,"(+/-1,301)",4138,(+/-741),524,(+/-282),3812,(+/-656)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2815,(+/-565),2197,(+/-541),2872,(+/-720),1601,(+/-467),1448,(+/-522),3314,(+/-721),2211,(+/-580),6451,"(+/-1,138)",5219,(+/-815),3142,(+/-712),12184,"(+/-1,575)",4363,(+/-857),418,(+/-228),5749,(+/-848)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1056,(+/-19),1105,(+/-20),1185,(+/-18),1077,(+/-17),1058,(+/-20),1167,(+/-18),1211,(+/-21),1467,(+/-24),1200,(+/-17),1327,(+/-22),1584,(+/-30),1314,(+/-29),1086,(+/-21),1404,(+/-38)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",100226,"(+/-2,805)",77028,"(+/-3,120)",72723,"(+/-2,900)",87624,"(+/-2,892)",85237,"(+/-3,098)",78248,"(+/-2,858)",71298,"(+/-2,721)",62378,"(+/-3,010)",75722,"(+/-2,993)",81006,"(+/-3,408)",67878,"(+/-2,820)",66734,"(+/-2,718)",73948,"(+/-3,434)",68549,"(+/-3,719)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",14274,"(+/-1,207)",7779,(+/-885),6931,(+/-931),12101,"(+/-1,046)",8867,"(+/-1,024)",9009,"(+/-1,139)",5803,(+/-859),3030,(+/-673),3779,(+/-750),6944,(+/-816),2570,(+/-601),3899,"(+/-1,126)",7257,"(+/-1,236)",5182,(+/-782)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",35912,"(+/-1,943)",26459,"(+/-2,035)",21704,"(+/-1,862)",28415,"(+/-1,713)",24945,"(+/-2,111)",24526,"(+/-1,678)",21469,"(+/-1,534)",11015,"(+/-1,369)",18944,"(+/-1,925)",20212,"(+/-1,696)",9512,"(+/-1,127)",13962,"(+/-1,441)",24640,"(+/-2,322)",15358,"(+/-1,728)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",32498,"(+/-1,545)",27970,"(+/-2,314)",26706,"(+/-2,024)",29206,"(+/-1,918)",31662,"(+/-1,914)",28618,"(+/-2,086)",26052,"(+/-1,947)",23054,"(+/-1,862)",33246,"(+/-2,174)",32531,"(+/-2,144)",22457,"(+/-1,887)",25452,"(+/-1,680)",27330,"(+/-2,019)",21664,"(+/-2,092)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",10069,(+/-888),9519,"(+/-1,299)",10756,"(+/-1,518)",11205,"(+/-1,230)",13602,"(+/-1,340)",10081,"(+/-1,190)",11682,"(+/-1,231)",14943,"(+/-1,542)",12336,"(+/-1,556)",13588,"(+/-1,363)",18708,"(+/-1,656)",13231,"(+/-1,553)",10070,"(+/-1,351)",12226,"(+/-1,332)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",4508,(+/-690),2820,(+/-723),3694,(+/-608),4315,(+/-734),4460,(+/-888),3881,(+/-800),4127,(+/-899),6475,"(+/-1,029)",3206,(+/-768),5143,(+/-948),7491,(+/-939),5736,(+/-787),3324,(+/-669),6351,"(+/-1,024)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2965,(+/-520),2481,(+/-569),2932,(+/-741),2382,(+/-581),1701,(+/-575),2133,(+/-431),2165,(+/-515),3861,(+/-648),4211,(+/-760),2588,(+/-713),7140,"(+/-1,011)",4454,(+/-729),1327,(+/-452),7768,"(+/-1,055)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",400,(+/-7),424,(+/-10),448,(+/-10),420,(+/-8),450,(+/-11),434,(+/-9),457,(+/-10),550,(+/-14),482,(+/-9),475,(+/-10),595,(+/-14),524,(+/-12),430,(+/-10),519,(+/-18)
Housing,"Gross Rent","Occupied units paying rent",59295,"(+/-3,071)",68894,"(+/-3,561)",72628,"(+/-3,691)",58123,"(+/-2,840)",75403,"(+/-3,858)",75946,"(+/-3,115)",59199,"(+/-3,201)",72965,"(+/-3,177)",89414,"(+/-3,512)",53551,"(+/-2,886)",68005,"(+/-3,263)",96632,"(+/-3,501)",113277,"(+/-4,282)",116415,"(+/-3,729)"
Housing,"Gross Rent","Less than $500",14649,"(+/-1,312)",8831,"(+/-1,458)",9029,"(+/-1,295)",12855,"(+/-1,465)",14896,"(+/-1,922)",12611,"(+/-1,291)",9603,"(+/-1,343)",6124,"(+/-1,112)",8873,"(+/-1,382)",5617,(+/-773),3658,(+/-756),7283,"(+/-1,116)",20172,"(+/-2,000)",13962,"(+/-1,849)"
Housing,"Gross Rent","$500 to $999",34644,"(+/-2,556)",46591,"(+/-3,285)",45608,"(+/-2,916)",33798,"(+/-2,114)",48237,"(+/-3,006)",52001,"(+/-2,898)",36228,"(+/-2,898)",42615,"(+/-2,646)",47444,"(+/-3,322)",30528,"(+/-2,619)",30544,"(+/-2,432)",51776,"(+/-3,033)",64413,"(+/-3,707)",63332,"(+/-3,907)"
Housing,"Gross Rent","$1,000 to $1,499",7442,"(+/-1,193)",10562,"(+/-1,639)",13977,"(+/-1,656)",8570,"(+/-1,510)",10666,"(+/-1,941)",8871,"(+/-1,401)",11365,"(+/-1,485)",17732,"(+/-2,063)",26819,"(+/-1,948)",13035,"(+/-1,749)",21412,"(+/-2,250)",27862,"(+/-2,394)",25413,"(+/-2,418)",29815,"(+/-2,345)"
Housing,"Gross Rent","$1,500 to $1,999",2083,(+/-764),2182,(+/-769),2682,(+/-851),2062,(+/-781),767,(+/-318),1606,(+/-584),1326,(+/-581),3669,(+/-873),4562,"(+/-1,347)",3218,(+/-909),7894,"(+/-1,443)",6636,"(+/-1,167)",2788,(+/-831),6772,"(+/-1,024)"
Housing,"Gross Rent","$2,000 to $2,499",124,(+/-117),359,(+/-292),466,(+/-316),499,(+/-278),385,(+/-349),479,(+/-314),417,(+/-210),1334,(+/-478),840,(+/-377),464,(+/-275),2443,(+/-678),2023,(+/-516),320,(+/-245),1785,(+/-563)
Housing,"Gross Rent","$2,500 to $2,999",0,(+/-167),0,(+/-167),130,(+/-216),89,(+/-116),275,(+/-316),272,(+/-357),171,(+/-169),670,(+/-468),747,(+/-400),393,(+/-366),1403,(+/-673),554,(+/-323),0,(+/-167),269,(+/-139)
Housing,"Gross Rent","$3,000 or more",353,(+/-213),369,(+/-219),736,(+/-511),250,(+/-288),177,(+/-236),106,(+/-83),89,(+/-104),821,(+/-392),129,(+/-124),296,(+/-397),651,(+/-371),498,(+/-252),171,(+/-277),480,(+/-356)
Housing,"Gross Rent","Median (dollars)",674,(+/-21),749,(+/-15),787,(+/-22),709,(+/-18),709,(+/-20),700,(+/-16),743,(+/-22),862,(+/-21),891,(+/-20),826,(+/-24),998,(+/-28),906,(+/-21),770,(+/-20),860,(+/-18)
Housing,"Gross Rent","No rent paid",4728,(+/-677),3585,(+/-748),3263,(+/-737),5061,(+/-774),4474,(+/-999),5178,"(+/-1,077)",4054,(+/-763),1974,(+/-565),3816,(+/-929),4083,(+/-926),3081,(+/-899),4587,"(+/-1,012)",6903,"(+/-1,094)",6781,"(+/-1,278)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",289509,"(+/-4,258)",270589,"(+/-3,226)",273074,"(+/-3,153)",268340,"(+/-3,458)",277003,"(+/-3,955)",279199,"(+/-3,581)",265607,"(+/-3,186)",277217,"(+/-3,573)",298469,"(+/-4,033)",276435,"(+/-2,994)",280995,"(+/-4,072)",274068,"(+/-3,732)",258660,"(+/-4,142)",269367,"(+/-5,460)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",21482,"(+/-1,809)",15672,"(+/-1,888)",15779,"(+/-1,864)",19450,"(+/-1,667)",26217,"(+/-2,545)",20024,"(+/-2,200)",14883,"(+/-1,705)",16135,"(+/-1,897)",19644,"(+/-1,900)",13706,"(+/-1,643)",10723,"(+/-1,464)",22104,"(+/-2,114)",42283,"(+/-2,767)",37561,"(+/-2,944)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",16376,"(+/-1,475)",14407,"(+/-1,758)",12717,"(+/-1,518)",14528,"(+/-1,337)",19115,"(+/-2,275)",13085,"(+/-1,572)",11925,"(+/-1,590)",10513,"(+/-1,685)",12539,"(+/-1,673)",12213,"(+/-1,602)",7490,"(+/-1,428)",12816,"(+/-1,341)",22526,"(+/-1,986)",18173,"(+/-1,723)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",37164,"(+/-2,189)",28688,"(+/-2,179)",30262,"(+/-2,174)",32989,"(+/-1,973)",36456,"(+/-2,781)",31219,"(+/-2,109)",25889,"(+/-1,965)",22966,"(+/-2,258)",31560,"(+/-2,819)",25642,"(+/-1,640)",18366,"(+/-1,683)",27116,"(+/-1,979)",40979,"(+/-2,870)",34149,"(+/-2,314)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",35902,"(+/-2,162)",29525,"(+/-2,095)",27983,"(+/-2,084)",31336,"(+/-1,837)",34306,"(+/-2,664)",30961,"(+/-2,457)",27861,"(+/-1,893)",21014,"(+/-2,243)",33041,"(+/-2,353)",27754,"(+/-1,949)",20751,"(+/-2,190)",26803,"(+/-2,350)",32763,"(+/-2,483)",29529,"(+/-2,528)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",46716,"(+/-2,392)",41433,"(+/-2,796)",40854,"(+/-3,093)",41368,"(+/-2,061)",43100,"(+/-2,713)",42614,"(+/-2,414)",42112,"(+/-2,443)",35738,"(+/-2,766)",42871,"(+/-2,837)",39970,"(+/-2,602)",30678,"(+/-2,612)",36333,"(+/-2,449)",34910,"(+/-2,565)",35655,"(+/-2,299)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$50,000 to $74,999",57495,"(+/-2,309)",56188,"(+/-2,648)",53053,"(+/-2,771)",52594,"(+/-2,541)",52182,"(+/-3,195)",54894,"(+/-2,815)",52322,"(+/-2,957)",49745,"(+/-2,990)",58486,"(+/-2,779)",51608,"(+/-3,030)",48124,"(+/-2,739)",52339,"(+/-2,804)",42400,"(+/-2,674)",41581,"(+/-2,681)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$75,000 to $99,999",32620,"(+/-2,015)",36730,"(+/-2,428)",35991,"(+/-2,483)",32526,"(+/-2,177)",29539,"(+/-2,281)",34009,"(+/-2,542)",34209,"(+/-2,239)",37732,"(+/-2,609)",36724,"(+/-2,539)",36463,"(+/-2,695)",39134,"(+/-2,556)",34114,"(+/-2,633)",20333,"(+/-1,881)",23604,"(+/-2,171)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$100,000 to $149,999",28093,"(+/-1,886)",31558,"(+/-2,100)",34332,"(+/-2,264)",27583,"(+/-1,700)",23361,"(+/-2,162)",31059,"(+/-2,017)",36317,"(+/-2,117)",43545,"(+/-2,427)",38693,"(+/-2,495)",42756,"(+/-2,561)",53410,"(+/-2,821)",37600,"(+/-2,251)",15577,"(+/-1,772)",27335,"(+/-2,054)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$150,000 to $199,000",6793,(+/-867),8739,"(+/-1,397)",12094,"(+/-1,601)",7667,"(+/-1,020)",7617,"(+/-1,114)",11618,"(+/-1,178)",10855,"(+/-1,498)",21223,"(+/-1,804)",12664,"(+/-1,240)",16496,"(+/-1,760)",25582,"(+/-2,034)",13559,"(+/-1,515)",4199,(+/-827),9894,"(+/-1,315)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$200,000 or more",6868,(+/-864),7649,"(+/-1,061)",10009,"(+/-1,349)",8299,"(+/-1,003)",5110,(+/-970),9716,"(+/-1,317)",9234,"(+/-1,161)",18606,"(+/-1,561)",12247,"(+/-1,235)",9827,"(+/-1,224)",26737,"(+/-1,987)",11284,"(+/-1,442)",2690,(+/-737),11886,"(+/-1,239)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Median household income (dollars)",45684,(+/-893),51681,(+/-971),53861,"(+/-1,772)",47461,"(+/-1,124)",42390,"(+/-1,066)",50511,"(+/-1,005)",53887,"(+/-1,537)",65400,"(+/-1,615)",52455,"(+/-1,345)",58068,"(+/-1,947)",77183,"(+/-1,881)",54212,"(+/-1,647)",31789,(+/-765),40785,"(+/-1,330)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Mean household income (dollars)",60191,"(+/-1,398)",67062,"(+/-1,674)",72038,"(+/-2,439)",62816,"(+/-1,322)",55748,"(+/-1,590)",68470,"(+/-1,914)",70097,"(+/-1,608)",86279,"(+/-2,179)",72232,"(+/-2,059)",74299,"(+/-1,540)",100660,"(+/-2,499)",72057,"(+/-1,627)",45037,"(+/-1,411)",63710,"(+/-1,787)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",682171,"(+/-2,443)",722828,"(+/-4,205)",721259,"(+/-4,141)",688505,"(+/-4,031)",677650,"(+/-3,835)",708543,"(+/-2,342)",679819,"(+/-4,222)",725522,"(+/-6,150)",712729,"(+/-7,234)",709160,"(+/-6,252)",717304,"(+/-6,788)",702359,"(+/-7,322)",675905,"(+/-12,623)",687046,"(+/-12,682)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",638956,"(+/-3,897)",682939,"(+/-5,160)",679246,"(+/-5,869)",642457,"(+/-5,597)",639842,"(+/-5,438)",663729,"(+/-4,665)",644874,"(+/-5,384)",687164,"(+/-7,169)",671444,"(+/-7,820)",667199,"(+/-7,707)",684192,"(+/-6,974)",662134,"(+/-8,032)",616672,"(+/-11,597)",633310,"(+/-12,211)"
Socioeconomic,"Health Insurance Coverage","With private health insurance",482743,"(+/-7,187)",523413,"(+/-7,478)",528218,"(+/-10,414)",490834,"(+/-7,461)",433312,"(+/-8,731)",508184,"(+/-7,930)",505373,"(+/-8,574)",581515,"(+/-9,461)",522259,"(+/-10,765)",544540,"(+/-9,742)",605181,"(+/-8,535)",517656,"(+/-10,838)",325893,"(+/-9,794)",398015,"(+/-11,032)"
Socioeconomic,"Health Insurance Coverage","With public coverage",297139,"(+/-6,325)",261824,"(+/-6,394)",247464,"(+/-8,261)",273097,"(+/-5,307)",321676,"(+/-7,821)",259694,"(+/-6,564)",254007,"(+/-7,245)",206184,"(+/-6,832)",258890,"(+/-8,845)",237177,"(+/-8,250)",175478,"(+/-6,824)",241063,"(+/-8,118)",372655,"(+/-11,752)",331368,"(+/-10,926)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",43215,"(+/-3,352)",39889,"(+/-3,577)",42013,"(+/-4,127)",46048,"(+/-2,890)",37808,"(+/-3,747)",44814,"(+/-3,898)",34945,"(+/-3,553)",38358,"(+/-5,012)",41285,"(+/-4,280)",41961,"(+/-4,445)",33112,"(+/-3,048)",40225,"(+/-4,542)",59233,"(+/-4,992)",53736,"(+/-3,907)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 18 years",131246,(+/-946),176721,"(+/-3,588)",177146,"(+/-3,534)",145390,"(+/-2,200)",152200,"(+/-1,850)",163107,"(+/-1,169)",152419,"(+/-2,343)",158667,"(+/-3,276)",144097,"(+/-5,812)",161169,"(+/-4,455)",161496,"(+/-5,081)",150078,"(+/-4,908)",165491,"(+/-7,462)",165216,"(+/-7,510)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6023,"(+/-1,251)",4671,"(+/-1,423)",4927,"(+/-1,151)",7552,"(+/-1,301)",3997,"(+/-1,087)",4689,"(+/-1,398)",5407,"(+/-1,383)",5511,"(+/-2,288)",3115,"(+/-1,124)",5923,"(+/-1,283)",2485,(+/-740),5083,"(+/-1,684)",5076,"(+/-1,342)",3617,(+/-888)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All families",9,(+/-0.7),9.2,(+/-1.0),9.8,(+/-1.0),10.3,(+/-0.9),15,(+/-1.2),10,(+/-1.0),8.5,(+/-1.0),7.4,(+/-1.0),10.7,(+/-1.2),7.5,(+/-0.9),4.6,(+/-0.8),11,(+/-1.2),27.4,(+/-1.8),20.2,(+/-1.6)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",16.9,(+/-1.7),14.8,(+/-1.9),16.8,(+/-1.9),18.9,(+/-1.9),27.9,(+/-2.3),18.5,(+/-1.9),15.9,(+/-2.0),11.2,(+/-2.0),18.3,(+/-2.3),12,(+/-1.6),6.8,(+/-1.5),18.6,(+/-2.1),42.6,(+/-2.7),31.5,(+/-2.5)
