Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE"
Housing,"Housing Tenure",Renter-occupied,86113,"(+/-4,514)",109607,"(+/-5,263)",104046,"(+/-3,965)",73762,"(+/-3,716)",94819,"(+/-5,115)",91182,"(+/-5,266)",142884,"(+/-6,723)",81544,"(+/-5,450)",147190,"(+/-5,925)",96371,"(+/-5,689)",81177,"(+/-3,660)",105557,"(+/-5,706)",87538,"(+/-3,918)",93266,"(+/-4,513)",65955,"(+/-3,819)",94776,"(+/-4,121)",122029,"(+/-5,250)",149751,"(+/-6,272)",98082,"(+/-4,246)",114549,"(+/-4,594)",129377,"(+/-5,900)",75692,"(+/-5,866)",60601,"(+/-3,778)",154764,"(+/-5,241)",85427,"(+/-4,768)",81615,"(+/-3,593)",100798,"(+/-4,458)",67371,"(+/-3,532)",117877,"(+/-5,860)",127358,"(+/-5,240)",101570,"(+/-4,202)",122614,"(+/-5,044)",116823,"(+/-4,226)",69897,"(+/-3,666)",139748,"(+/-4,728)",76856,"(+/-4,380)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.79,(+/-0.05),2.8,(+/-0.06),2.96,(+/-0.05),2.78,(+/-0.05),2.93,(+/-0.06),2.96,(+/-0.07),2.79,(+/-0.07),2.9,(+/-0.06),3.15,(+/-0.10),2.9,(+/-0.06),2.86,(+/-0.05),2.89,(+/-0.05),2.65,(+/-0.04),2.74,(+/-0.05),3.65,(+/-0.11),3.29,(+/-0.09),2.82,(+/-0.06),2.98,(+/-0.10),2.72,(+/-0.05),3.22,(+/-0.09),2.63,(+/-0.06),3.22,(+/-0.06),3.34,(+/-0.07),2.84,(+/-0.06),2.78,(+/-0.05),3.09,(+/-0.04),2.78,(+/-0.06),3.44,(+/-0.07),3.52,(+/-0.09),3.07,(+/-0.08),3,(+/-0.05),2.78,(+/-0.06),3.45,(+/-0.10),3.39,(+/-0.08),3.16,(+/-0.09),2.76,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.62,(+/-0.10),2.49,(+/-0.11),2.5,(+/-0.08),2.6,(+/-0.08),2.73,(+/-0.10),2.73,(+/-0.10),2.36,(+/-0.10),2.71,(+/-0.12),2.73,(+/-0.08),2.45,(+/-0.09),2.49,(+/-0.09),2.48,(+/-0.08),2.54,(+/-0.08),2.46,(+/-0.09),3.17,(+/-0.13),2.77,(+/-0.10),2.37,(+/-0.06),2.6,(+/-0.07),2.7,(+/-0.08),2.85,(+/-0.11),2.18,(+/-0.07),2.83,(+/-0.16),3.11,(+/-0.13),2.26,(+/-0.05),2.59,(+/-0.09),2.58,(+/-0.09),2.65,(+/-0.09),3.35,(+/-0.13),3.1,(+/-0.09),2.59,(+/-0.07),2.58,(+/-0.07),2.43,(+/-0.09),3.26,(+/-0.08),3.24,(+/-0.13),2.87,(+/-0.08),2.53,(+/-0.10)
Housing,"Year Householder Moved into Unit","Occupied housing units",252252,"(+/-4,050)",278068,"(+/-6,840)",292431,"(+/-3,095)",259288,"(+/-4,055)",251986,"(+/-6,111)",255499,"(+/-5,640)",300026,"(+/-6,528)",270735,"(+/-4,823)",267279,"(+/-6,416)",283464,"(+/-6,408)",269037,"(+/-3,927)",282312,"(+/-6,157)",257511,"(+/-4,068)",267407,"(+/-4,137)",214345,"(+/-4,748)",235672,"(+/-3,645)",274547,"(+/-4,647)",268114,"(+/-6,838)",251761,"(+/-3,564)",250022,"(+/-5,387)",309497,"(+/-6,556)",274785,"(+/-5,993)",221835,"(+/-4,774)",305157,"(+/-4,919)",267588,"(+/-5,387)",274216,"(+/-4,213)",263740,"(+/-3,883)",210726,"(+/-3,870)",228854,"(+/-6,667)",259435,"(+/-5,944)",277160,"(+/-3,249)",282479,"(+/-4,894)",219249,"(+/-4,625)",212817,"(+/-3,996)",267303,"(+/-5,503)",264815,"(+/-4,843)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",20750,"(+/-2,481)",26151,"(+/-2,951)",27441,"(+/-2,659)",19074,"(+/-1,898)",22205,"(+/-2,628)",22750,"(+/-2,717)",34132,"(+/-3,224)",21035,"(+/-3,038)",26167,"(+/-3,717)",22950,"(+/-3,257)",24694,"(+/-2,324)",24200,"(+/-2,490)",23523,"(+/-2,058)",23556,"(+/-2,610)",13974,"(+/-2,131)",18850,"(+/-2,526)",27495,"(+/-2,899)",28985,"(+/-3,225)",25675,"(+/-2,634)",29051,"(+/-2,959)",35096,"(+/-3,795)",22136,"(+/-3,315)",15773,"(+/-2,103)",34321,"(+/-3,527)",24048,"(+/-3,225)",24597,"(+/-2,528)",24172,"(+/-2,294)",12992,"(+/-2,270)",23517,"(+/-3,194)",25070,"(+/-3,023)",28917,"(+/-2,490)",28317,"(+/-2,547)",20876,"(+/-2,575)",11227,"(+/-1,757)",26681,"(+/-2,581)",21305,"(+/-2,338)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",88795,"(+/-4,355)",119303,"(+/-6,600)",128277,"(+/-4,879)",88564,"(+/-3,905)",92935,"(+/-5,439)",98217,"(+/-5,177)",135437,"(+/-5,815)",107052,"(+/-5,177)",121814,"(+/-6,991)",115655,"(+/-6,448)",97839,"(+/-4,150)",118232,"(+/-5,556)",92224,"(+/-3,688)",94839,"(+/-5,374)",73207,"(+/-4,245)",87390,"(+/-3,641)",121000,"(+/-5,238)",119123,"(+/-5,270)",96853,"(+/-3,599)",97002,"(+/-4,481)",134083,"(+/-5,155)",109639,"(+/-5,558)",74059,"(+/-3,501)",142211,"(+/-4,761)",107172,"(+/-4,348)",119910,"(+/-4,869)",95761,"(+/-4,251)",71246,"(+/-3,974)",92777,"(+/-5,330)",109880,"(+/-5,188)",124566,"(+/-4,402)",118526,"(+/-4,723)",88214,"(+/-5,112)",66544,"(+/-4,158)",119671,"(+/-5,826)",96229,"(+/-4,118)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",73470,"(+/-4,073)",78643,"(+/-5,061)",90015,"(+/-3,576)",80643,"(+/-3,928)",72670,"(+/-3,460)",78713,"(+/-4,045)",79361,"(+/-4,273)",90589,"(+/-5,534)",65244,"(+/-5,261)",87501,"(+/-4,533)",74684,"(+/-4,187)",83813,"(+/-4,935)",72025,"(+/-3,335)",77127,"(+/-4,722)",65290,"(+/-4,224)",60693,"(+/-3,579)",70175,"(+/-3,627)",65565,"(+/-4,430)",63472,"(+/-3,126)",62284,"(+/-3,538)",78614,"(+/-4,343)",92478,"(+/-4,902)",64361,"(+/-3,559)",75564,"(+/-4,139)",77578,"(+/-3,979)",91201,"(+/-4,426)",68109,"(+/-3,181)",64833,"(+/-3,756)",56968,"(+/-3,809)",65075,"(+/-3,655)",73088,"(+/-3,638)",73089,"(+/-4,341)",54822,"(+/-3,263)",66115,"(+/-3,614)",66328,"(+/-4,453)",74660,"(+/-3,955)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",33463,"(+/-2,293)",31323,"(+/-3,090)",31757,"(+/-2,666)",38674,"(+/-2,700)",34472,"(+/-2,732)",32845,"(+/-2,688)",29794,"(+/-2,412)",30267,"(+/-3,090)",27303,"(+/-2,722)",34207,"(+/-2,738)",35313,"(+/-2,517)",30454,"(+/-2,791)",35319,"(+/-2,234)",35553,"(+/-3,099)",32090,"(+/-2,619)",31650,"(+/-2,551)",27717,"(+/-2,410)",24533,"(+/-2,741)",28045,"(+/-2,021)",25785,"(+/-2,232)",34579,"(+/-2,763)",32759,"(+/-3,060)",29257,"(+/-2,466)",32629,"(+/-2,417)",32646,"(+/-1,727)",23485,"(+/-2,303)",33935,"(+/-2,944)",30958,"(+/-2,638)",28722,"(+/-2,363)",28644,"(+/-2,529)",32407,"(+/-2,253)",33724,"(+/-2,588)",26739,"(+/-2,367)",29842,"(+/-2,473)",26208,"(+/-2,864)",36205,"(+/-2,965)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",17534,"(+/-2,129)",13439,"(+/-1,632)",10104,"(+/-1,559)",15731,"(+/-1,560)",15040,"(+/-1,659)",14385,"(+/-1,848)",12049,"(+/-1,620)",13107,"(+/-2,077)",14335,"(+/-1,897)",12371,"(+/-1,646)",17401,"(+/-1,895)",11802,"(+/-1,515)",15841,"(+/-1,646)",15159,"(+/-1,811)",14964,"(+/-1,695)",16201,"(+/-1,873)",15463,"(+/-1,709)",10667,"(+/-1,362)",17004,"(+/-1,728)",13943,"(+/-1,637)",13638,"(+/-1,883)",11246,"(+/-1,807)",18363,"(+/-2,223)",11010,"(+/-1,431)",15308,"(+/-1,599)",9723,"(+/-1,451)",18762,"(+/-2,092)",16909,"(+/-1,929)",13540,"(+/-1,678)",13587,"(+/-1,516)",11326,"(+/-1,320)",13398,"(+/-1,539)",11876,"(+/-1,500)",18831,"(+/-2,214)",11387,"(+/-1,684)",16760,"(+/-1,859)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",18240,"(+/-2,047)",9209,"(+/-1,240)",4837,(+/-989),16602,"(+/-1,794)",14664,"(+/-1,773)",8589,"(+/-1,144)",9253,"(+/-1,407)",8685,"(+/-1,483)",12416,"(+/-1,529)",10780,"(+/-1,362)",19106,"(+/-1,995)",13811,"(+/-1,598)",18579,"(+/-1,352)",21173,"(+/-2,101)",14820,"(+/-1,580)",20888,"(+/-1,984)",12697,"(+/-1,276)",19241,"(+/-1,630)",20712,"(+/-1,642)",21957,"(+/-1,898)",13487,"(+/-1,545)",6527,"(+/-1,269)",20022,"(+/-1,775)",9422,"(+/-1,291)",10836,"(+/-1,549)",5300,(+/-814),23001,"(+/-1,814)",13788,"(+/-1,545)",13330,"(+/-1,543)",17179,"(+/-1,786)",6856,"(+/-1,014)",15425,"(+/-1,386)",16722,"(+/-1,715)",20258,"(+/-1,845)",17028,"(+/-1,561)",19656,"(+/-1,983)"
Housing,Value,"Owner-occupied units",166139,"(+/-3,914)",168461,"(+/-5,794)",188385,"(+/-3,963)",185526,"(+/-4,002)",157167,"(+/-4,638)",164317,"(+/-4,692)",157142,"(+/-5,733)",189191,"(+/-5,817)",120089,"(+/-4,823)",187093,"(+/-4,699)",187860,"(+/-4,341)",176755,"(+/-5,325)",169973,"(+/-3,987)",174141,"(+/-4,655)",148390,"(+/-4,972)",140896,"(+/-4,092)",152518,"(+/-4,488)",118363,"(+/-4,458)",153679,"(+/-4,400)",135473,"(+/-4,354)",180120,"(+/-4,918)",199093,"(+/-4,949)",161234,"(+/-3,834)",150393,"(+/-4,042)",182161,"(+/-4,547)",192601,"(+/-4,728)",162942,"(+/-4,764)",143355,"(+/-4,230)",110977,"(+/-4,402)",132077,"(+/-4,355)",175590,"(+/-4,070)",159865,"(+/-4,813)",102426,"(+/-3,880)",142920,"(+/-4,320)",127555,"(+/-4,871)",187959,"(+/-4,874)"
Housing,Value,"Less than $50,000",29512,"(+/-2,207)",4756,"(+/-1,336)",2498,(+/-680),30649,"(+/-2,455)",18113,"(+/-2,108)",9899,"(+/-1,440)",2636,"(+/-1,109)",19230,"(+/-2,646)",6911,"(+/-1,184)",10900,"(+/-1,718)",29349,"(+/-2,588)",8250,"(+/-1,490)",28091,"(+/-2,066)",20336,"(+/-2,369)",32504,"(+/-2,740)",9527,"(+/-1,443)",18519,"(+/-2,238)",12038,"(+/-1,777)",32411,"(+/-2,387)",12126,"(+/-1,665)",7625,"(+/-1,231)",7186,"(+/-1,283)",28983,"(+/-2,769)",3322,(+/-909),12218,"(+/-1,803)",7521,"(+/-1,556)",22088,"(+/-2,042)",22115,"(+/-2,429)",11338,"(+/-1,782)",14144,"(+/-2,114)",7555,"(+/-1,542)",3399,(+/-817),16288,"(+/-1,694)",40531,"(+/-2,718)",13635,"(+/-1,731)",29079,"(+/-2,793)"
Housing,Value,"$50,000 to $99,999",40961,"(+/-2,596)",15149,"(+/-1,873)",4637,"(+/-1,043)",46891,"(+/-2,964)",41752,"(+/-2,772)",26126,"(+/-2,046)",7922,"(+/-1,577)",26125,"(+/-3,010)",33822,"(+/-3,225)",14174,"(+/-1,655)",42236,"(+/-2,740)",35228,"(+/-2,930)",48384,"(+/-2,518)",38433,"(+/-2,818)",46250,"(+/-3,812)",40284,"(+/-3,393)",28675,"(+/-2,485)",34691,"(+/-2,800)",44453,"(+/-2,852)",37985,"(+/-2,567)",11148,"(+/-1,729)",10466,"(+/-1,802)",42871,"(+/-2,727)",9286,"(+/-1,433)",25695,"(+/-2,254)",10426,"(+/-1,785)",40580,"(+/-2,757)",41437,"(+/-2,722)",46260,"(+/-3,454)",42663,"(+/-3,073)",17941,"(+/-1,992)",15088,"(+/-1,870)",48268,"(+/-2,679)",46961,"(+/-3,447)",34111,"(+/-2,435)",41709,"(+/-3,410)"
Housing,Value,"$100,000 to $149,999",29375,"(+/-2,270)",33680,"(+/-2,850)",14208,"(+/-1,766)",32784,"(+/-2,356)",35068,"(+/-2,487)",44187,"(+/-3,578)",26793,"(+/-3,002)",29085,"(+/-3,083)",41796,"(+/-3,630)",28100,"(+/-2,469)",31455,"(+/-2,634)",43285,"(+/-3,447)",34480,"(+/-2,317)",31704,"(+/-2,441)",25509,"(+/-2,422)",46293,"(+/-3,529)",26908,"(+/-2,393)",28613,"(+/-2,771)",29527,"(+/-2,220)",32934,"(+/-2,309)",18055,"(+/-2,098)",22728,"(+/-2,405)",26274,"(+/-2,654)",24451,"(+/-1,864)",27487,"(+/-2,482)",28633,"(+/-2,400)",34909,"(+/-2,799)",33459,"(+/-3,077)",32550,"(+/-3,085)",37179,"(+/-3,052)",25904,"(+/-2,078)",30580,"(+/-2,497)",22089,"(+/-2,244)",25386,"(+/-2,719)",28040,"(+/-2,707)",43708,"(+/-3,749)"
Housing,Value,"$150,000 to $199,999",25982,"(+/-2,699)",36543,"(+/-3,247)",25219,"(+/-2,131)",24917,"(+/-1,899)",21430,"(+/-2,215)",34934,"(+/-2,563)",28764,"(+/-3,021)",32297,"(+/-2,697)",21850,"(+/-2,896)",35304,"(+/-3,353)",29123,"(+/-2,718)",31433,"(+/-2,831)",22206,"(+/-1,776)",31917,"(+/-3,067)",18157,"(+/-2,091)",23250,"(+/-2,571)",28259,"(+/-2,607)",14462,"(+/-1,904)",19162,"(+/-1,849)",25205,"(+/-2,066)",25870,"(+/-2,456)",34365,"(+/-3,379)",18400,"(+/-2,207)",26550,"(+/-1,957)",21421,"(+/-2,146)",40115,"(+/-2,689)",25658,"(+/-2,218)",21872,"(+/-1,992)",11358,"(+/-1,496)",18297,"(+/-2,208)",36414,"(+/-2,432)",29568,"(+/-2,771)",8946,"(+/-1,414)",15799,"(+/-1,888)",27491,"(+/-2,822)",30203,"(+/-2,342)"
Housing,Value,"$200,000 to $299,999",22974,"(+/-2,135)",36312,"(+/-2,779)",65170,"(+/-3,302)",25791,"(+/-1,831)",21561,"(+/-2,459)",30339,"(+/-2,626)",27958,"(+/-3,035)",34093,"(+/-3,478)",9934,"(+/-1,539)",38915,"(+/-3,118)",30016,"(+/-2,665)",28596,"(+/-2,896)",20632,"(+/-1,686)",30163,"(+/-3,382)",16239,"(+/-1,859)",13491,"(+/-1,679)",31287,"(+/-2,373)",9548,"(+/-1,563)",16580,"(+/-1,794)",19552,"(+/-2,061)",51404,"(+/-3,585)",57965,"(+/-4,256)",20189,"(+/-1,902)",34340,"(+/-2,372)",29255,"(+/-2,772)",50263,"(+/-3,885)",22336,"(+/-1,986)",13925,"(+/-1,882)",5281,"(+/-1,152)",11202,"(+/-1,783)",50375,"(+/-3,163)",28583,"(+/-2,224)",4276,(+/-658),8988,"(+/-1,505)",17337,"(+/-1,784)",29118,"(+/-2,861)"
Housing,Value,"$300,000 to $499,999",13084,"(+/-1,810)",26920,"(+/-2,698)",58302,"(+/-3,046)",18253,"(+/-1,777)",12787,"(+/-1,510)",15602,"(+/-2,065)",23290,"(+/-1,976)",29800,"(+/-3,067)",3961,"(+/-1,081)",35255,"(+/-2,472)",17046,"(+/-1,752)",20966,"(+/-1,887)",11664,"(+/-1,396)",16505,"(+/-2,293)",7170,"(+/-1,190)",6357,"(+/-1,088)",14253,"(+/-1,438)",11922,"(+/-1,490)",8504,"(+/-1,193)",6328,"(+/-1,059)",41421,"(+/-2,712)",50516,"(+/-4,055)",17137,"(+/-1,786)",31955,"(+/-2,241)",36745,"(+/-2,808)",41863,"(+/-2,120)",12481,"(+/-1,552)",8115,"(+/-1,636)",2112,(+/-608),4934,"(+/-1,042)",29279,"(+/-2,038)",24268,"(+/-2,137)",1914,(+/-508),3507,"(+/-1,022)",5097,(+/-925),10212,"(+/-1,390)"
Housing,Value,"$500,000 to $999,999",3479,(+/-927),11883,"(+/-1,742)",16188,"(+/-1,988)",5358,(+/-899),4758,(+/-940),2724,(+/-732),23661,"(+/-2,232)",15569,"(+/-2,091)",1411,(+/-656),20263,"(+/-2,182)",6512,"(+/-1,125)",7373,"(+/-1,384)",3376,(+/-946),4223,"(+/-1,154)",1918,(+/-697),1360,(+/-603),3899,(+/-958),6152,(+/-958),2437,(+/-668),1076,(+/-484),19571,"(+/-1,984)",14421,"(+/-2,359)",6412,"(+/-1,043)",17573,"(+/-1,746)",23790,"(+/-2,095)",12154,"(+/-1,175)",3995,"(+/-1,012)",1752,(+/-773),1870,(+/-760),2352,(+/-579),7073,"(+/-1,148)",16055,"(+/-1,723)",621,(+/-431),1577,(+/-513),1603,(+/-645),3232,(+/-883)
Housing,Value,"$1,000,000 or more",772,(+/-559),3218,(+/-905),2163,(+/-641),883,(+/-396),1698,(+/-761),506,(+/-257),16118,"(+/-1,312)",2992,(+/-963),404,(+/-316),4182,(+/-852),2123,(+/-729),1624,(+/-483),1140,(+/-370),860,(+/-451),643,(+/-358),334,(+/-247),718,(+/-385),937,(+/-362),605,(+/-290),267,(+/-160),5026,"(+/-1,034)",1446,(+/-645),968,(+/-460),2916,(+/-698),5550,(+/-932),1626,(+/-474),895,(+/-422),680,(+/-443),208,(+/-181),1306,(+/-577),1049,(+/-564),12324,"(+/-1,247)",24,(+/-39),171,(+/-118),241,(+/-180),698,(+/-312)
Housing,Value,"Median (dollars)",121700,"(+/-4,918)",190200,"(+/-5,176)",271100,"(+/-3,920)",121200,"(+/-3,367)",120500,"(+/-3,073)",152300,"(+/-3,623)",236800,"(+/-7,527)",177100,"(+/-6,085)",120200,"(+/-2,969)",210200,"(+/-5,172)",132900,"(+/-6,053)",151900,"(+/-3,840)",110200,"(+/-2,807)",144100,"(+/-5,323)",92900,"(+/-4,819)",119000,"(+/-2,878)",153200,"(+/-4,231)",116900,"(+/-3,382)",100000,"(+/-3,607)",126600,"(+/-3,898)",249500,"(+/-5,602)",238400,"(+/-5,622)",114600,"(+/-3,867)",230800,"(+/-5,541)",212700,"(+/-7,721)",216500,"(+/-4,177)",124500,"(+/-3,904)",110000,"(+/-3,429)",98000,"(+/-2,708)",110700,"(+/-2,996)",200000,"(+/-4,311)",204100,"(+/-8,486)",87100,"(+/-1,739)",82000,"(+/-2,474)",126800,"(+/-4,903)",124000,"(+/-3,636)"
Housing,"Mortgage Status","Owner-occupied units",166139,"(+/-3,914)",168461,"(+/-5,794)",188385,"(+/-3,963)",185526,"(+/-4,002)",157167,"(+/-4,638)",164317,"(+/-4,692)",157142,"(+/-5,733)",189191,"(+/-5,817)",120089,"(+/-4,823)",187093,"(+/-4,699)",187860,"(+/-4,341)",176755,"(+/-5,325)",169973,"(+/-3,987)",174141,"(+/-4,655)",148390,"(+/-4,972)",140896,"(+/-4,092)",152518,"(+/-4,488)",118363,"(+/-4,458)",153679,"(+/-4,400)",135473,"(+/-4,354)",180120,"(+/-4,918)",199093,"(+/-4,949)",161234,"(+/-3,834)",150393,"(+/-4,042)",182161,"(+/-4,547)",192601,"(+/-4,728)",162942,"(+/-4,764)",143355,"(+/-4,230)",110977,"(+/-4,402)",132077,"(+/-4,355)",175590,"(+/-4,070)",159865,"(+/-4,813)",102426,"(+/-3,880)",142920,"(+/-4,320)",127555,"(+/-4,871)",187959,"(+/-4,874)"
Housing,"Mortgage Status","Housing units with a mortgage",78316,"(+/-3,831)",111964,"(+/-5,065)",135637,"(+/-4,044)",95517,"(+/-3,782)",84398,"(+/-3,657)",112252,"(+/-4,803)",100382,"(+/-5,141)",109440,"(+/-5,547)",73553,"(+/-3,963)",116803,"(+/-4,761)",87008,"(+/-3,455)",113557,"(+/-4,993)",83260,"(+/-3,541)",89062,"(+/-4,166)",70192,"(+/-4,536)",84333,"(+/-4,307)",84128,"(+/-3,603)",66453,"(+/-3,822)",70618,"(+/-3,853)",82584,"(+/-3,910)",107682,"(+/-4,549)",137692,"(+/-5,339)",81151,"(+/-3,892)",102615,"(+/-4,209)",113456,"(+/-4,169)",146784,"(+/-4,779)",79065,"(+/-4,188)",73494,"(+/-3,463)",58012,"(+/-3,699)",83098,"(+/-3,882)",121050,"(+/-4,107)",105434,"(+/-4,464)",53896,"(+/-2,836)",53259,"(+/-3,570)",79968,"(+/-3,747)",88287,"(+/-3,904)"
Housing,"Mortgage Status","Housing units without a mortgage",87823,"(+/-3,115)",56497,"(+/-3,427)",52748,"(+/-2,750)",90009,"(+/-3,110)",72769,"(+/-3,510)",52065,"(+/-2,855)",56760,"(+/-3,254)",79751,"(+/-5,199)",46536,"(+/-3,421)",70290,"(+/-3,617)",100852,"(+/-3,904)",63198,"(+/-3,818)",86713,"(+/-3,127)",85079,"(+/-3,792)",78198,"(+/-4,017)",56563,"(+/-2,917)",68390,"(+/-3,275)",51910,"(+/-2,854)",83061,"(+/-3,249)",52889,"(+/-2,828)",72438,"(+/-3,206)",61401,"(+/-3,910)",80083,"(+/-4,071)",47778,"(+/-2,941)",68705,"(+/-3,417)",45817,"(+/-2,548)",83877,"(+/-3,553)",69861,"(+/-3,864)",52965,"(+/-3,191)",48979,"(+/-3,032)",54540,"(+/-2,356)",54431,"(+/-2,900)",48530,"(+/-3,098)",89661,"(+/-3,972)",47587,"(+/-3,092)",99672,"(+/-4,276)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",78316,"(+/-3,831)",111964,"(+/-5,065)",135637,"(+/-4,044)",95517,"(+/-3,782)",84398,"(+/-3,657)",112252,"(+/-4,803)",100382,"(+/-5,141)",109440,"(+/-5,547)",73553,"(+/-3,963)",116803,"(+/-4,761)",87008,"(+/-3,455)",113557,"(+/-4,993)",83260,"(+/-3,541)",89062,"(+/-4,166)",70192,"(+/-4,536)",84333,"(+/-4,307)",84128,"(+/-3,603)",66453,"(+/-3,822)",70618,"(+/-3,853)",82584,"(+/-3,910)",107682,"(+/-4,549)",137692,"(+/-5,339)",81151,"(+/-3,892)",102615,"(+/-4,209)",113456,"(+/-4,169)",146784,"(+/-4,779)",79065,"(+/-4,188)",73494,"(+/-3,463)",58012,"(+/-3,699)",83098,"(+/-3,882)",121050,"(+/-4,107)",105434,"(+/-4,464)",53896,"(+/-2,836)",53259,"(+/-3,570)",79968,"(+/-3,747)",88287,"(+/-3,904)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1144,(+/-440),470,(+/-407),392,(+/-386),2190,(+/-665),927,(+/-485),573,(+/-332),242,(+/-206),1198,(+/-532),292,(+/-207),283,(+/-206),1329,(+/-573),658,(+/-401),1321,(+/-445),856,(+/-386),1851,(+/-651),1071,(+/-522),1210,(+/-514),610,(+/-403),1320,(+/-446),767,(+/-369),414,(+/-270),243,(+/-188),2848,(+/-882),196,(+/-165),1331,(+/-523),132,(+/-136),577,(+/-303),1999,(+/-825),649,(+/-377),573,(+/-281),994,(+/-439),374,(+/-252),657,(+/-297),1392,(+/-658),902,(+/-496),1139,(+/-528)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",25081,"(+/-2,421)",10672,"(+/-2,033)",5106,"(+/-1,197)",26615,"(+/-2,209)",19929,"(+/-1,896)",15102,"(+/-1,972)",6804,"(+/-1,395)",15500,"(+/-2,407)",12750,"(+/-1,659)",10363,"(+/-1,644)",22295,"(+/-2,219)",16235,"(+/-2,007)",28151,"(+/-2,644)",13186,"(+/-1,923)",23980,"(+/-3,050)",28324,"(+/-3,027)",15329,"(+/-1,770)",14903,"(+/-2,173)",25483,"(+/-2,296)",20944,"(+/-2,439)",11943,"(+/-1,873)",7946,"(+/-1,863)",23153,"(+/-1,992)",6961,"(+/-1,194)",18152,"(+/-1,942)",8627,"(+/-1,743)",21720,"(+/-2,319)",20542,"(+/-2,316)",16869,"(+/-2,128)",20770,"(+/-2,213)",13494,"(+/-1,735)",9351,"(+/-1,385)",19155,"(+/-2,163)",19966,"(+/-2,319)",22782,"(+/-2,129)",20946,"(+/-1,906)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",29369,"(+/-2,409)",33555,"(+/-2,834)",24033,"(+/-2,354)",33770,"(+/-2,468)",31913,"(+/-2,811)",43457,"(+/-2,896)",28121,"(+/-3,078)",31404,"(+/-3,749)",36909,"(+/-3,271)",33600,"(+/-3,091)",29313,"(+/-2,723)",42760,"(+/-3,662)",30311,"(+/-2,036)",32152,"(+/-3,665)",24736,"(+/-2,183)",34717,"(+/-3,542)",30177,"(+/-2,442)",27071,"(+/-2,929)",26125,"(+/-2,720)",33510,"(+/-2,676)",30096,"(+/-2,581)",27252,"(+/-3,283)",24244,"(+/-2,126)",28407,"(+/-2,255)",31231,"(+/-2,229)",37652,"(+/-2,937)",28917,"(+/-2,492)",29732,"(+/-2,564)",26687,"(+/-3,299)",35341,"(+/-2,430)",42180,"(+/-3,174)",32041,"(+/-2,574)",26199,"(+/-2,392)",19373,"(+/-1,984)",31711,"(+/-2,795)",31783,"(+/-2,632)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",11722,"(+/-1,728)",31712,"(+/-2,933)",37256,"(+/-2,720)",16625,"(+/-1,735)",16314,"(+/-2,165)",28108,"(+/-2,761)",23223,"(+/-2,724)",25849,"(+/-3,126)",17109,"(+/-2,509)",32346,"(+/-2,927)",18222,"(+/-2,454)",28018,"(+/-2,502)",13991,"(+/-1,663)",20828,"(+/-3,135)",13485,"(+/-1,952)",13218,"(+/-1,953)",21266,"(+/-2,071)",10659,"(+/-1,583)",10299,"(+/-1,412)",17916,"(+/-2,096)",26668,"(+/-2,664)",38250,"(+/-4,051)",13352,"(+/-1,770)",24479,"(+/-2,304)",21798,"(+/-2,327)",46142,"(+/-3,185)",17533,"(+/-1,993)",13080,"(+/-1,894)",9130,"(+/-1,717)",16676,"(+/-1,941)",34048,"(+/-2,957)",25140,"(+/-2,438)",5689,(+/-975),8862,"(+/-1,602)",19871,"(+/-2,403)",20593,"(+/-2,351)"
